station,epoch,unit,component,group,weight,weighted_loss_n,weighted_loss_mean,weighted_loss_median,weighted_loss_min,weighted_loss_max,weighted_grad_norm_n,weighted_grad_norm_mean,weighted_grad_norm_median,weighted_grad_norm_min,weighted_grad_norm_max,weighted_ratio_base_n,weighted_ratio_base_mean,weighted_ratio_base_median,weighted_ratio_base_min,weighted_ratio_base_max,weighted_ratio_dual_base_n,weighted_ratio_dual_base_mean,weighted_ratio_dual_base_median,weighted_ratio_dual_base_min,weighted_ratio_dual_base_max
Battery,50,batch,amp_true,shared,0.0007,16,2.2234481508348832e-06,1.8071903148666024e-06,3.846007748506963e-07,6.465498916804791e-06,16,6.043203676450224e-05,5.476796345632038e-05,2.0332367305718865e-05,0.00013508022370856788,16,0.0026656997558059054,0.0024697268383832406,0.001035343762473311,0.005380223265378778,16,0.0012400888007552354,0.0011922639364292356,0.00034148450790483714,0.002397104448332302
Battery,50,batch,amp_true,shared,0.001,16,3.1763545011926905e-06,2.581700449809432e-06,5.494296783581377e-07,9.236427024006844e-06,16,8.633148109214606e-05,7.82399477947434e-05,2.904623900816981e-05,0.00019297174815509696,16,0.0038081425082941507,0.0035281811976903437,0.0014790625178190157,0.007686033236255396,16,0.0017715554296503368,0.0017032341948989079,0.0004878350112926245,0.003424434926189003
Battery,50,batch,amp_true,shared,0.003,16,9.529063503578074e-06,7.745101349428297e-06,1.6482890350744128e-06,2.7709281072020532e-05,16,0.0002589944432764382,0.00023471984338423017,8.713871702450942e-05,0.0005789152444652909,16,0.011424427524882451,0.010584543593071032,0.004437187553457047,0.02305809970876619,16,0.005314666288951011,0.005109702584696724,0.0014635050338778735,0.01027330477856701
Battery,50,batch,amp_true,temporal,0.0001,16,3.176354501192691e-07,2.5817004498094323e-07,5.494296783581376e-08,9.236427024006844e-07,16,5.823923241040475e-08,5.247724695173173e-08,3.526923545109082e-09,1.4661596677824413e-07,16,0.0002741125727863954,0.00022164897320992426,1.7146811646795778e-05,0.0006105629173586372,16,0.0001317020411819216,0.00010992683226360142,6.315134612249071e-06,0.0002841414400253272
Battery,50,batch,amp_true,temporal,0.0003,16,9.52906350357807e-07,7.745101349428295e-07,1.6482890350744126e-07,2.770928107202053e-06,16,1.7471769723121424e-07,1.5743174085519518e-07,1.0580770635327245e-08,4.398479003347323e-07,16,0.0008223377183591859,0.0006649469196297728,5.144043494038733e-05,0.0018316887520759115,16,0.00039510612354576476,0.00032978049679080424,1.894540383674721e-05,0.0008524243200759816
Battery,50,batch,amp_true,temporal,0.0007,16,2.2234481508348832e-06,1.8071903148666024e-06,3.846007748506963e-07,6.465498916804791e-06,16,4.0767462687283325e-07,3.6734072866212216e-07,2.4688464815763573e-08,1.0263117674477088e-06,16,0.0019187880095047675,0.0015515428124694697,0.00012002768152757044,0.004273940421510461,16,0.0009219142882734511,0.0007694878258452099,4.420594228574349e-05,0.0019889900801772905
Battery,50,batch,amp_true,temporal,0.001,16,3.1763545011926905e-06,2.581700449809432e-06,5.494296783581377e-07,9.236427024006844e-06,16,5.823923241040474e-07,5.247724695173173e-07,3.526923545109082e-08,1.4661596677824411e-06,16,0.0027411257278639536,0.0022164897320992426,0.0001714681164679578,0.006105629173586372,16,0.0013170204118192158,0.0010992683226360143,6.315134612249071e-05,0.0028414144002532724
Battery,50,batch,amp_true,temporal,0.003,16,9.529063503578074e-06,7.745101349428297e-06,1.6482890350744128e-06,2.7709281072020532e-05,16,1.7471769723121425e-06,1.574317408551952e-06,1.0580770635327245e-07,4.398479003347324e-06,16,0.008223377183591861,0.006649469196297728,0.0005144043494038733,0.018316887520759117,16,0.003951061235457649,0.0032978049679080424,0.00018945403836747213,0.008524243200759818
Battery,50,batch,body,excess,1.0,16,0.001918768793984782,0.001904902805108577,0.0016608353471383452,0.0024424958974123,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0
Battery,50,batch,body,full,1.0,16,0.001918768793984782,0.001904902805108577,0.0016608353471383452,0.0024424958974123,16,0.024520555085744092,0.024067345506750406,0.019442558102427166,0.03636906949656229,16,0.961086987743285,0.9790055784633971,0.7835870852759208,1.006466833774131,16,0.45105127397109457,0.4671471883977823,0.26746943117728617,0.49911997235399774
